RA,TURMA
11202130002,DA1MCZC010-15SB
11202130002,DA1BCK0104-15SB
11202130002,DA1MCTC001-15SB
11202130002,NB2BIN0406-15SB
11202130002,NA1BCS0002-15SB
11202112038,NANHZ1003-15SA
11202112038,NB1ESTO011-17SB
11202112038,NA1ESHT015-22SB
11201921240,NB1BCK0104-15SA
11201921240,NA2ESTO006-17SA
21077113,NAMCTD024-18SA
21077113,NAMCTD009-18SA
21077113,NANHT3068-15SA
21077113,NAMCTD007-18SA
11202021033,NA1NHT4015-15SA
11202130004,DA1MCTB009-17SA
11202130004,DAESTE036-17SA
11202130004,DA1ESTO011-17SA
11202130004,DA1MCTB019-17SA
11202111469,DA1ESHR031-21SB
11202111469,DA1ESHR005-13SB
11202111469,DA1ESHR024-14SB
11202111469,DA1ESHR015-21SB
11202111469,DA1ESHR016-21SB
11202231396,NA1BIR0004-15SB
11202231396,NA1BCL0306-15SB
11202231396,NA1BIK0102-15SB
11202231396,NB1BCM0505-22SB
11201721638,DA1ESTB021-17SB
11202130357,DA3BCN0407-15SA
11202130357,DA1MCTC014-13SB
11202130357,DA1MCTC020-15SB
11202230325,NA1BIR0004-15SB
11202230325,NB4BIS0003-15SA
11202022015,DA1ESZP041-14SB
11202022015,DA1ESHC003-17SB
11202022015,DAESHR007-21SB
11202022015,DAESZP002-13SB
11107815,DA1ESZP041-14SB
11107815,DANHZ2052-11SB
11107815,DA1ESHR016-21SB
11201811685,DB4BCJ0205-15SA
11201811685,DANHT1071-15SA
11201811685,DA1ESTU039-17SA
11201811685,DA1ESTU035-17SA
11201921313,DANHH2007-13SB
11201921313,DB1ESTO011-17SB
11201921313,DB1BIN0406-15SB
11201921313,DB1BCM0505-22SB
11102814,NA1ESTA007-17SA
11102814,NAESTI006-17SA
11102814,NA1ESTA003-17SA
21070012,NA1MCTC018-15SB
11042216,DANHZ6008-18SA
11042216,DA2BCN0407-15SB
11042216,DANHZ6005-18SA
11042216,NA1ESTB031-18SB
11042216,DA1MCZC011-15SB
11201723015,DA2BCS0001-15SA
11201723015,DANHZ6015-18SA
11201723015,DANHZ6008-18SA
11201723015,DANHZ6005-18SA
11202131095,NAESHR007-21SB
11201920527,DAESZI037-17SA
11201920527,NAESZI032-17SA
11201920527,NAESZI016-17SA
11201920527,NA2ESTA003-17SA
11201920527,NAESTI020-17SA
11202230271,DA1BIK0102-15SA
11202230271,DA2BCJ0205-15SA
11202230271,DB2BCN0407-15SA
11202230271,DA1BIN0406-15SA
11202212398,NB3BCJ0205-15SA
11202212398,NB4BCM0505-22SA
11201810602,DAESTG023-17SB
11201810602,NAESTG016-17SB
11201810602,NAESTG024-17SB
11202020061,NA1ESTO013-17SA
11202020061,NA1MCTC001-15SB
11202020061,NB1ESTO008-17SA
11202020061,NA1NHZ5023-18SB
11201723022,DA1ESTB013-17SB
11201723022,DA1ESTB028-17SB
11201723022,NA1ESTB031-18SB
11201723022,NA2ESTB024-17SB
11202230408,NA4BIS0003-15SB
11202230408,NA1BCL0306-15SB
11202230408,NA1BHQ0002-15SB
11201811299,NAESZG002-17SB
11201811299,DAESZG023-17SB
11201811299,NA1ESTO902-17SB
11201811299,DA1ESTG022-17SB
11201920641,NA1MCZA002-17SA
11201920641,DA1ESZU022-17SA
11201920641,DA1LHZ0018-19SB
11201920641,DA1ESHT018-17SB
11201920856,NANHT1072-15SA
11201920856,DANHZ2132-18SB
11202020902,DA1LHZ0018-19SB
11202020902,DA1MCTC001-15SB
11202020902,DA2BIN0406-15SA
11202020902,DB1ESTO012-17SA
11202111864,NB1BCK0104-15SB
11202111864,NAESTS006-17SB
11202111864,NA1ESTB009-17SB
11024613,NA1MCTB010-13SA
11024613,NAESTE016-17SA
11024613,NAESTE023-17SA
11202020978,DA1ESZU022-17SA
11202020978,DAESTE029-17SA
11202020978,DAESTG005-17SB
11202020978,DD1ESTO902-17SB
11202020978,DA1ESTO016-17SA
11202020978,DAESTG023-17SB
11030509,DA1ESTB005-17SB
11030509,DA1NHZ5023-18SB
21025414,NA1BHQ0002-15SB
21025414,NA1BHP0001-15SB
21025414,NAESZP002-13SB
21025414,NA2BIN0406-15SB
11201922014,NA1ESTO013-17SB
11201922014,NA4BCN0407-15SA
11201922014,NA1BCN0404-15SB
11202131100,NA1BIQ0602-15SB
11202131100,NA1BCN0404-15SB
11202131100,NA1MCTC001-15SB
11111209,NANHZ6015-18SA
11111209,NANHZ6008-18SA
11111209,NANHZ6005-18SA
11201722436,NA1ESTO001-17SB
11201722436,NB1BCK0104-15SB
11201722436,NA1ESTO006-17SB
11201722436,NA1ESTO015-17SB
11202210015,NB1BHQ0002-15SA
11202210015,DB1BCJ0205-15SA
11202210015,DANHZ2021-11SB
11202210015,NA1NHZ4078-20SA
11202210015,DA1NHT4073-15SA
11202210015,DANHT3096-22SA
11202230859,NA3BIS0003-15SB
11202230859,NA1BCL0306-15SB
11202230859,NA1BHQ0002-15SB
11202230859,NA1BHQ0301-15SB
11035614,NA1MCTA009-13SA
11035614,NAESTA021-17SA
11035614,NAESTI006-17SA
11035614,NA1ESTO014-17SA
11202230357,DB1BCJ0205-15SB
11202230357,DA1BCN0407-15SB
11202230357,DB1BIN0406-15SB
11202230357,DB1ESTO005-17SB
11202230357,DA1BCM0505-22SB
11201812123,NA1MCTC001-15SB
11201812123,NA1ESZU030-17SA
11201722779,NAESTG001-17SB
11201722779,DAESTG004-17SB
11201920575,NA3BIS0003-15SB
11201920575,NA2NHT5004-15SA
11201920575,NA2BIN0406-15SB
11201920575,NA6BCM0505-22SA
13201910061,NAESHR029-21SB
13201910061,NA1ESHP028-14SB
11201922339,NA3BIS0003-15SB
11201922339,NAESHR007-21SB
